Unnamed: 0,is_background,location,speed_kmh,weather,vehicle,source_direction,microphone,decibel,Dezibel_ber
0,True,Fraunhofer-IDMT,30,,,,ME,0.005590655538367172,42.50684356689453
1,True,Fraunhofer-IDMT,30,,,,SE,0.003773720842122852,38.21933364868164
2,True,Fraunhofer-IDMT,30,,,,ME,0.004751241240487154,41.02157211303711
3,True,Fraunhofer-IDMT,30,,,,SE,0.003385121493794714,37.1088981628418
4,True,Fraunhofer-IDMT,30,,,,ME,0.00492875365374472,41.39238357543945
5,True,Fraunhofer-IDMT,30,,,,SE,0.003360697007626911,37.35077667236328
6,True,Fraunhofer-IDMT,30,,,,ME,0.005869057411466374,42.63613510131836
7,True,Fraunhofer-IDMT,30,,,,SE,0.003392304131732391,37.46561813354492
8,True,Fraunhofer-IDMT,30,,,,ME,0.006443498242768181,44.20722961425781
9,True,Fraunhofer-IDMT,30,,,,SE,0.003826536284666343,38.38717651367188
10,True,Fraunhofer-IDMT,30,,,,ME,0.005828142746456973,43.31483840942383
11,True,Fraunhofer-IDMT,30,,,,SE,0.003660092568363566,38.03018951416016
12,True,Fraunhofer-IDMT,30,,,,ME,0.006614390259963665,44.37897491455078
13,True,Fraunhofer-IDMT,30,,,,SE,0.003684229158566098,38.3530158996582
14,True,Fraunhofer-IDMT,30,,,,ME,0.007238677801834366,45.35036468505859
15,True,Fraunhofer-IDMT,30,,,,SE,0.004583510762653751,40.19635009765625
16,True,Fraunhofer-IDMT,30,,,,ME,0.007158122631442693,44.97790145874023
17,True,Fraunhofer-IDMT,30,,,,SE,0.004639422362250799,39.73043060302734
18,False,Fraunhofer-IDMT,30,D,C,R,ME,6.791186281619211,53.93605804443359
19,False,Fraunhofer-IDMT,30,D,C,R,SE,14.72146609327144,56.59752655029297
20,False,Fraunhofer-IDMT,30,D,C,L,ME,4.160025706910153,52.22771072387695
21,False,Fraunhofer-IDMT,30,D,C,L,SE,10.02306659224418,52.6302604675293
22,True,Fraunhofer-IDMT,30,,,,ME,0.0064958954645962,44.32379531860352
23,True,Fraunhofer-IDMT,30,,,,SE,0.004269450267923969,38.97663879394531
24,False,Fraunhofer-IDMT,30,D,C,R,ME,7.946938001180155,56.47024536132812
25,False,Fraunhofer-IDMT,30,D,C,R,SE,13.08607633743765,55.37730407714844
26,True,Fraunhofer-IDMT,30,,,,ME,0.00813621317138715,45.79798889160156
27,True,Fraunhofer-IDMT,30,,,,SE,0.004750444281582404,40.21697998046875
28,True,Fraunhofer-IDMT,30,,,,ME,0.006259519818894676,43.50281143188477
29,True,Fraunhofer-IDMT,30,,,,SE,0.005036894619925192,40.62786102294922
30,False,Fraunhofer-IDMT,30,D,C,L,ME,2.744267096304118,51.12488555908203
31,False,Fraunhofer-IDMT,30,D,C,L,SE,8.868190265154754,52.12008666992188
32,True,Fraunhofer-IDMT,30,,,,ME,0.00914483110640181,47.55448913574219
33,True,Fraunhofer-IDMT,30,,,,SE,0.006477047887065283,44.03470230102539
34,True,Fraunhofer-IDMT,30,,,,ME,0.009308712951597884,47.74319839477539
35,True,Fraunhofer-IDMT,30,,,,SE,0.006578624332480703,44.68982315063477
36,True,Fraunhofer-IDMT,30,,,,ME,0.00923174826389631,47.8123664855957
37,True,Fraunhofer-IDMT,30,,,,SE,0.005959241207481552,43.62850952148438
38,False,Fraunhofer-IDMT,30,D,C,L,ME,2.435875449518226,49.65985870361328
39,False,Fraunhofer-IDMT,30,D,C,L,SE,10.94760917666154,53.09145355224609
40,True,Fraunhofer-IDMT,30,,,,ME,0.008803401036158263,47.19915771484375
41,True,Fraunhofer-IDMT,30,,,,SE,0.005368019675131986,42.41403961181641
42,True,Fraunhofer-IDMT,30,,,,ME,0.007635111812348968,45.39445495605469
43,True,Fraunhofer-IDMT,30,,,,SE,0.006052653762806648,42.49563598632812
44,True,Fraunhofer-IDMT,30,,,,ME,0.008251607710617713,46.26370239257812
45,True,Fraunhofer-IDMT,30,,,,SE,0.00648508071829292,43.42722320556641
46,False,Fraunhofer-IDMT,30,D,C,R,ME,4.865845636613538,52.88143920898438
47,False,Fraunhofer-IDMT,30,D,C,R,SE,12.02559272517054,54.52008438110352
48,False,Fraunhofer-IDMT,30,D,C,R,ME,9.74375064173527,58.83611297607422
49,False,Fraunhofer-IDMT,30,D,C,R,SE,14.42640526441241,57.46902465820312
