is_background,location,speed_kmh,weather,vehicle,source_direction,microphone,decibel,Dezibel_ber
False,Fraunhofer-IDMT,30,D,C,R,ME,6.791186281619211,53.93605804443359
False,Fraunhofer-IDMT,30,D,C,R,SE,14.72146609327144,56.59752655029297
False,Fraunhofer-IDMT,30,D,C,L,ME,4.160025706910153,52.22771072387695
False,Fraunhofer-IDMT,30,D,C,L,SE,10.02306659224418,52.6302604675293
False,Fraunhofer-IDMT,30,D,C,R,ME,7.946938001180155,56.47024536132812
False,Fraunhofer-IDMT,30,D,C,R,SE,13.08607633743765,55.37730407714844
False,Fraunhofer-IDMT,30,D,C,L,ME,2.744267096304118,51.12488555908203
False,Fraunhofer-IDMT,30,D,C,L,SE,8.868190265154754,52.12008666992188
False,Fraunhofer-IDMT,30,D,C,L,ME,2.435875449518226,49.65985870361328
False,Fraunhofer-IDMT,30,D,C,L,SE,10.94760917666154,53.09145355224609
False,Fraunhofer-IDMT,30,D,C,R,ME,4.865845636613538,52.88143920898438
False,Fraunhofer-IDMT,30,D,C,R,SE,12.02559272517054,54.52008438110352
False,Fraunhofer-IDMT,30,D,C,R,ME,9.74375064173527,58.83611297607422
False,Fraunhofer-IDMT,30,D,C,R,SE,14.42640526441241,57.46902465820312
False,Fraunhofer-IDMT,30,D,B,R,ME,13.36303719976019,61.94661331176758
False,Fraunhofer-IDMT,30,D,B,R,SE,19.51895987920216,62.8031120300293
False,Fraunhofer-IDMT,30,D,C,R,ME,7.996795352400946,56.11968994140625
False,Fraunhofer-IDMT,30,D,C,R,SE,14.89523586854297,58.19758224487305
False,Fraunhofer-IDMT,30,D,C,R,ME,1.515873144915649,49.3014030456543
False,Fraunhofer-IDMT,30,D,C,R,SE,7.436697897879804,50.5445556640625
False,Fraunhofer-IDMT,30,D,C,R,ME,4.555275301829021,52.42399597167969
False,Fraunhofer-IDMT,30,D,C,R,SE,11.1342733506421,53.42615509033203
False,Fraunhofer-IDMT,30,D,C,L,ME,1.97972960017578,49.92443466186523
False,Fraunhofer-IDMT,30,D,C,L,SE,8.131742421090117,50.85661697387695
False,Fraunhofer-IDMT,30,D,C,R,ME,6.331496931074093,56.2249755859375
False,Fraunhofer-IDMT,30,D,C,R,SE,9.68986381320886,53.08432769775391
False,Fraunhofer-IDMT,30,D,C,L,ME,4.776896037456121,51.53771209716797
False,Fraunhofer-IDMT,30,D,C,L,SE,12.67031735703813,54.9053955078125
False,Fraunhofer-IDMT,30,D,C,L,ME,2.849962705590568,50.32045364379883
False,Fraunhofer-IDMT,30,D,C,L,SE,11.12648514212855,53.66344451904297
False,Fraunhofer-IDMT,30,D,C,R,ME,5.259431613623178,53.38791275024414
False,Fraunhofer-IDMT,30,D,C,R,SE,10.93361131505977,53.40730285644531
False,Fraunhofer-IDMT,30,D,C,L,ME,6.292599372993574,54.9659309387207
False,Fraunhofer-IDMT,30,D,C,L,SE,11.35991829820099,55.00016021728516
